carat,cut,color,clarity,depth,table,price,measurements
1.01,Very Good,E,SI1,64.8,57.0,"$4,600",6.21x6.29x4.05 mm
1.51,Excellent,I,SI2,61.8,55.0,"$9,612",7.32x7.36x4.54 mm
1.00,Good,F,SI2,60.0,60.0,"$4,270",6.43x6.44x3.86 mm
1.04,Excellent,H,VS2,61.4,58.0,"$6,800",6.51x6.54x4.01 mm
1.07,Excellent,H,VS2,61.7,56.0,"$6,980",6.54x6.59x4.05 mm
1.01,Excellent,E,VS2,61.7,56.0,"$8,140",6.43x6.47x3.98 mm
1.20,Excellent,I,SI2,60.1,59.0,"$6,120",6.9x6.92x4.15 mm
1.35,Excellent,I,VS2,62.4,58.0,"$9,630",7.02x7.08x4.4 mm
1.20,Excellent,H,VVS2,61.5,59.0,"$5,380",6.78x6.81x4.18 mm
1.22,Very Good,G,SI1,58.6,63.0,"$8,020",6.97x7.05x4.11 mm
1.13,Excellent,G,VS2,60.9,57.0,"$7,790",6.74x6.81x4.12 mm
1.50,Excellent,I,SI2,63.1,55.0,"$7,230",7.28x7.3x4.6 mm
1.20,Excellent,I,IF,63.3,56.0,"$5,756",6.72x6.76x4.27 mm
1.71,Very Good,J,VVS2,64.9,56.0,"$8,791",7.42x7.45x4.83 mm
1.70,Excellent,K,VVS2,62.1,58.0,"$6,920",7.57x7.63x4.72 mm
1.05,Excellent,F,VS2,60.8,56.0,"$8,370",6.58x6.65x4.02 mm
1.01,Good,D,VVS2,62.8,63.0,"$5,180",6.32x6.48x4.02 mm
0.90,Excellent,I,VVS2,61.4,57.0,"$4,360",6.18x6.22x3.81 mm
1.70,Excellent,H,SI1,62.8,58.0,"$9,020",7.57x7.61x4.76 mm
1.80,Excellent,H,SI1,62.2,58.0,"$9,730",7.7x7.78x4.81 mm
1.04,Excellent,G,VS2,61.0,60.0,"$7,700",6.49x6.54x3.97 mm
1.00,Excellent,F,SI2,60.6,57.0,"$5,140",6.48x6.52x3.94 mm
1.19,Excellent,G,VS2,62.3,56.0,"$7,700",6.75x6.81x4.22 mm
1.01,Very Good,E,SI1,61.6,58.0,"$9,660",6.38x6.4x3.94 mm
1.01,Very Good,I,VS2,62.9,57.0,"$4,690",6.36x6.41x4.02 mm
1.01,Very Good,I,VS2,59.8,54.0,"$4,690",6.51x6.53x3.9 mm
1.20,Excellent,G,VVS2,61.6,57.0,"$9,360",6.81x6.85x4.21 mm
1.01,Very Good,D,VS2,60.4,59.0,"$8,300",6.49x6.53x3.93 mm
0.80,Very Good,D,VS2,61.8,58.0,"$4,100",5.91x5.95x3.66 mm
0.80,Very Good,F,VS2,58.8,61.0,"$4,270",6.03x6.05x3.55 mm
1.01,Excellent,E,SI2,60.8,59.0,"$7,560",6.44x6.5x3.93 mm
1.01,Very Good,E,SI2,62.2,55.0,"$6,260",6.39x6.45x4 mm
1.01,Very Good,E,SI2,59.6,60.0,"$5,930",6.53x6.55x3.9 mm
1.01,Excellent,I,SI1,60.9,58.0,"$6,440",6.49x6.52x3.96 mm
1.20,Very Good,D,SI1,63.3,57.0,"$8,810",6.73x6.77x4.27 mm
1.01,Excellent,J,VS2,62.6,57.0,"$6,820",6.39x6.43x4.01 mm
1.01,Excellent,E,VS2,62.0,57.0,"$7,560",6.4x6.44x3.98 mm
1.01,Excellent,E,VS2,62.2,55.0,"$8,380",6.41x6.45x4 mm
1.01,Good,F,SI1,62.1,62.0,"$6,820",6.34x6.41x3.95 mm
1.00,Very Good,H,SI1,61.9,58.0,"$6,610",6.35x6.38x3.94 mm
1.00,Very Good,D,SI2,60.8,60.0,"$7,340",6.41x6.45x3.91 mm
1.25,Excellent,J,SI1,61.6,58.0,"$8,090",6.94x6.97x4.28 mm
1.00,Good,E,SI2,64.7,59.0,"$4,610",6.23x6.28x4.05 mm
1.21,Excellent,H,VS2,61.4,56.0,"$7,020",6.86x6.89x4.22 mm
1.22,Excellent,H,VS2,61.2,59.0,"$7,070",6.85x6.91x4.21 mm
1.23,Good,K,SI1,63.9,60.0,"$4,980",6.71x6.85x4.34 mm
1.25,Excellent,I,IF,62.4,56.0,"$7,780",6.87x6.94x4.31 mm
1.03,Excellent,E,SI1,63.0,56.0,"$6,610",6.42x6.46x4.06 mm
1.03,Excellent,E,SI1,61.9,57.0,"$7,770",6.48x6.51x4.02 mm
1.03,Excellent,I,SI1,62.4,58.0,"$7,800",6.45x6.47x4.03 mm
1.03,Very Good,F,SI1,63.1,59.0,"$7,330",6.39x6.42x4.04 mm
1.01,Very Good,H,SI1,63.7,58.0,"$8,280",6.28x6.33x4.02 mm
1.08,Very Good,H,SI1,62.3,57.0,"$6,900",6.53x6.6x4.09 mm
0.70,Excellent,D,VS1,62.1,56.0,"$4,510",5.68x5.71x3.54 mm
0.78,Excellent,F,VS1,62.2,58.0,"$5,050",5.87x5.9x3.66 mm
1.01,Excellent,D,VS2,60.2,58.0,"$7,390",6.49x6.53x3.92 mm
1.01,Excellent,E,VS1,62.5,55.0,"$8,920",6.37x6.42x4 mm
1.01,Very Good,E,SI2,61.7,57.0,"$5,720",6.4x6.42x3.96 mm
1.09,Excellent,D,SI1,62.0,57.0,"$8,790",6.58x6.62x4.09 mm
1.09,Excellent,G,VS1,60.3,60.0,"$8,480",6.65x6.69x4.02 mm
1.10,Excellent,I,IF,61.4,60.0,"$6,920",6.61x6.67x4.08 mm
1.08,Excellent,E,VS2,61.6,57.0,"$9,260",6.56x6.6x4.06 mm
1.14,Excellent,F,VS1,62.6,54.0,"$9,660",6.65x6.7x4.18 mm
1.18,Very Good,E,SI1,61.4,59.0,"$9,110",6.79x6.89x4.2 mm
0.90,Excellent,D,VS2,61.9,56.0,"$6,570",6.14x6.22x3.83 mm
1.16,Excellent,D,VS2,60.8,59.0,"$9,940",6.75x6.81x4.13 mm
1.16,Excellent,D,VS2,63.0,57.0,"$9,940",6.66x6.71x4.21 mm
0.71,Good,D,VS2,59.1,57.0,"$4,030",5.79x5.84x3.44 mm
1.18,Excellent,H,SI2,61.7,56.0,"$8,550",6.75x6.8x4.18 mm
0.90,Very Good,G,SI1,58.4,60.0,"$4,290",6.37x6.41x3.73 mm
1.13,Very Good,I,SI1,61.3,60.0,"$7,110",6.66x6.75x4.11 mm
1.18,Excellent,G,SI2,62.3,56.0,"$9,200",6.76x6.8x4.22 mm
1.16,Excellent,J,VVS1,62.1,56.0,"$7,390",6.73x6.77x4.19 mm
1.16,Excellent,G,VS1,60.4,58.0,"$8,550",6.77x6.86x4.12 mm
1.18,Very Good,E,VS2,60.4,58.0,"$8,730",6.82x6.97x4.17 mm
0.90,Excellent,E,VS2,62.4,56.0,"$5,800",6.18x6.21x3.87 mm
1.17,Excellent,F,SI1,60.5,57.0,"$8,480",6.81x6.89x4.14 mm
1.16,Very Good,H,SI1,61.8,60.0,"$8,130",6.7x6.79x4.17 mm
0.90,Excellent,D,VS1,61.6,58.0,"$6,410",6.19x6.21x3.82 mm
1.00,Good,H,VVS2,64.7,56.0,"$5,950",6.24x6.3x4.06 mm
1.00,Good,G,VS2,59.5,64.0,"$4,790",6.41x6.46x3.83 mm
1.00,Good,F,VS1,63.2,58.0,"$8,120",6.24x6.29x3.96 mm
1.00,Excellent,F,VS1,62.0,57.0,"$7,230",6.39x6.47x3.99 mm
1.05,Very Good,J,SI1,62.2,58.0,"$6,200",6.4x6.45x4 mm
1.00,Excellent,E,SI1,61.1,61.0,"$7,560",6.39x6.47x3.93 mm
0.72,Very Good,E,VVS2,63.5,57.0,"$4,580",5.68x5.71x3.62 mm
1.04,Very Good,F,SI2,62.5,57.0,"$5,550",6.4x6.43x4.01 mm
1.00,Good,D,VS2,58.7,62.0,"$8,220",6.48x6.54x3.82 mm
1.00,Excellent,G,SI1,62.4,58.0,"$6,860",6.36x6.39x3.98 mm
1.05,Excellent,E,VS1,61.2,57.0,"$9,750",6.53x6.57x4.01 mm
1.03,Excellent,E,VS1,62.7,55.0,"$9,580",6.47x6.51x4.07 mm
1.00,Excellent,I,SI1,62.6,56.0,"$7,590",6.38x6.43x4.01 mm
1.00,Excellent,D,SI1,60.2,58.0,"$7,450",6.5x6.53x3.92 mm
1.00,Excellent,D,SI1,61.0,55.0,"$7,450",6.44x6.5x3.95 mm
1.00,Excellent,I,VS1,61.3,61.0,"$4,980",6.36x6.41x3.92 mm
1.02,Very Good,J,SI1,61.8,58.0,"$6,030",6.43x6.46x3.98 mm
